Property,Model,Kernel,Flag,LML
Hvap,1,Matern12,True, -137.72272062415846
Hvap,1,Matern12,False, -140.39169106915108
Hvap,1,Matern32,True, -134.57656575968883
Hvap,1,Matern32,False, -144.05472105049597
Hvap,1,Matern52,True, -133.33081600241906
Hvap,1,Matern52,False, -144.8728671334116
Hvap,1,RBF,True, -132.80310124823023
Hvap,1,RBF,False, -148.36423888328216
Hvap,1,RQ,True, -132.65270901999975
Hvap,1,RQ,False, -145.11963751055077
Hvap,2,Matern12,True, -211.8567005979973
Hvap,2,Matern12,False, -211.85670026133016
Hvap,2,Matern32,True, -239.9756758962061
Hvap,2,Matern32,False, -239.97567589619723
Hvap,2,Matern52,True, -239.94605334549186
Hvap,2,Matern52,False, -239.94605334548987
Hvap,2,RBF,True, -239.33510606200946
Hvap,2,RBF,False, -239.33510606200724
Hvap,2,RQ,True, -239.3352120327164
Hvap,2,RQ,False, -239.33521173708118
Hvap,3,Matern12,True, -141.44761940493373
Hvap,3,Matern12,False, -142.48260074847042
Hvap,3,Matern32,True, -137.05667906521074
Hvap,3,Matern32,False, -147.36088895422262
Hvap,3,Matern52,True, -136.07537946033244
Hvap,3,Matern52,False, -148.96989982550417
Hvap,3,RBF,True, -135.14424301202484
Hvap,3,RBF,False, -151.9260974490623
Hvap,3,RQ,True, -135.1443135867695
Hvap,3,RQ,False, -148.37808086323446
Hvap,4,Matern12,True, -134.43691892326768
Hvap,4,Matern12,False, -135.13287512980685
Hvap,4,Matern32,True, -132.551361666753
Hvap,4,Matern32,False, -140.4230932946241
Hvap,4,Matern52,True, -131.26940705925745
Hvap,4,Matern52,False, -139.80186995580874
Hvap,4,RBF,True, -129.59454175808628
Hvap,4,RBF,False, -140.0416820349351
Hvap,4,RQ,True, -129.59508566079893
Hvap,4,RQ,False, -139.56511454497587
Pc,1,Matern12,True, -57.19849863679053
Pc,1,Matern12,False, -57.340375242854975
Pc,1,Matern32,True, -41.01017163042616
