CAS Reg. No.,PubChem SMILES,Mol. Wt.,JR Hvap /kJ mol-1,CRC Hvap /kJ mol-1
109-76-2,C(CN)CN,74.12699999999995,43.554,40.85
57-14-7,CN(C)N,60.100000000000016,32.730000000000004,32.55
289-95-2,C1=CN=CN=C1,80.08999999999997,38.532,43.09
126-98-7,CC(=C)C#N,67.09099999999998,34.386,31.8
108-91-8,C1CCC(CC1)N,99.17699999999994,40.02,36.14
123-75-1,C1CCNC1,71.12299999999998,31.822,33.01
100-47-0,C1=CC=C(C=C1)C#N,103.12399999999997,43.93000000000001,45.9
111-26-2,CCCCCCN,101.19299999999993,39.591,36.54
110-59-8,CCCCC#N,83.13399999999996,37.202,36.09
75-31-0,CC(C)N,59.11200000000002,32.525000000000006,27.83
111-92-2,CCCCNCCCC,129.24699999999993,39.838,38.44
108-47-4,CC1=CC(=NC=C1)C,107.15599999999996,40.324,38.53
75-50-3,CN(C)C,59.112000000000016,24.315,22.94
109-73-9,CCCCN,73.13899999999995,35.139,31.81
460-19-5,C(#N)C#N,52.036,41.002,23.33
13360-63-9,CCCCNCC,101.19299999999993,35.386,33.97
106-49-0,CC1=CC=C(C=C1)N,107.15599999999996,44.755,44.3
33966-50-6,CCC(C)N,73.13899999999995,34.751000000000005,29.92
119-65-3,C1=CC=C2C=NC=CC2=C1,129.16199999999998,45.754000000000005,49.0
108-75-8,CC1=CC(=NC(=C1)C)C,121.18299999999994,43.212,39.87
102-82-9,CCCCN(CCCC)CCCC,185.35500000000025,44.349,46.9
583-61-9,CC1=C(N=CC=C1)C,107.15599999999996,40.324,39.08
124-68-5,CC(C)(CO)N,89.13799999999995,50.522000000000006,50.6
311-89-7,C(C(C(F)(F)F)(F)F)(C(N(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,671.0850000000004,6.738,46.4
107-13-1,C=CC#N,53.06400000000001,32.08,32.6
4747-21-1,CC(C)NC,73.13899999999997,30.546,28.71
21968-17-2,CCCNC(C)C,101.19299999999993,34.998,32.14
630-18-2,CC(C)(C)C#N,83.13399999999996,35.906000000000006,32.4
79-46-9,CC(C)[N+](=O)[O-],89.09399999999997,38.475,36.8
110-61-2,C(CC#N)C#N,80.08999999999999,45.45400000000001,48.5
583-58-4,CC1=C(C=NC=C1)C,107.15599999999996,40.324,39.99
109-06-8,CC1=CC=CC=N1,93.12899999999996,37.43600000000001,36.17
107-15-3,C(CN)N,60.100000000000016,41.328,37.98
141-43-5,C(CO)N,61.08400000000002,47.366,49.83
107-10-8,CCCN,59.11200000000002,32.913,29.55
1462-84-6,CC1=C(N=C(C=C1)C)C,121.18299999999994,43.212,39.95
105-34-0,COC(=O)CC#N,99.08899999999998,42.383,48.2
111-42-2,C(CO)NCCO,105.13699999999994,64.292,65.2
109-97-7,C1=CNC=C1,67.09099999999998,32.406000000000006,38.75
95-51-2,C1=CC=C(C(=C1)N)Cl,127.57399999999996,46.914,44.4
78-82-0,CC(C)C#N,69.10699999999997,34.588,32.39
62-53-3,C1=CC=C(C=C1)N,93.12899999999996,41.867,42.44
16529-66-1,CC=CCC#N,81.11799999999997,37.16,37.09
107-12-0,CCC#N,55.08000000000001,32.75,31.81
591-22-0,CC1=CC(=CN=C1)C,107.15599999999996,40.324,39.46
78-81-9,CC(C)CN,73.13899999999995,34.751000000000005,30.61
79-24-3,CC[N+](=O)[O-],75.06699999999998,36.637,38.0
108-03-2,CCC[N+](=O)[O-],89.09399999999997,38.863,38.5
509-14-8,C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],196.031,82.88799999999999,40.74
110-58-7,CCCCCN,87.16599999999994,37.365,34.01
108-48-5,CC1=NC(=CC=C1)C,107.15599999999992,40.324,37.46
108-89-4,CC1=CC=NC=C1,93.12899999999996,37.43600000000001,37.51
75-05-8,CC#N,41.053,30.524,29.75
104-75-6,CCCCC(CC)CN,129.24699999999993,43.655,40.0
124-40-3,CNC,45.085000000000015,26.482,26.4
110-86-1,C1=CC=NC=C1,79.10199999999998,34.548,35.09
108-18-9,CC(C)NC(C)C,101.19299999999993,34.61,30.4
74-89-5,CN,31.058,28.461,25.6
19961-27-4,CCNC(C)C,87.16599999999993,32.772,29.94
589-93-5,CC1=CN=C(C=C1)C,107.15599999999996,40.324,38.68
