CAS Reg. No.,PubChem SMILES,Mol. wt.,JR Pc /Bars,CRC Pc /Bars
106-49-0,CC1=CC=C(C=C1)N,107.15599999999996,43.45390778820044,33.0
290-37-9,C1=CN=CC=N1,80.08999999999997,63.59235772481806,64.9
121-44-8,CCN(CC)CC,101.19299999999993,31.001830348063745,31.0
141-43-5,C(CO)N,61.08400000000002,62.88829592213423,80.0
108-89-4,CC1=CC=NC=C1,93.12899999999996,46.78485143938274,46.8
90-41-5,C1=CC=C(C=C1)C2=CC=CC=C2N,169.2270000000001,36.02881729,35.2
110-85-0,C1CNCCN1,86.13799999999995,57.91742828084855,54.0
373-44-4,C(CCCCN)CCCN,144.26200000000014,28.535685586967627,28.0
111-92-2,CCCCNCCCC,129.24699999999993,25.68891900771926,31.1
75-50-3,CN(C)C,59.112000000000016,43.974136172069024,40.8
111-40-0,C(CNCCN)N,103.16899999999994,45.96380350474002,44.3
109-89-7,CCNCC,73.13899999999995,39.60519952901496,37.5
110-86-1,C1=CC=NC=C1,79.10199999999998,54.78848631,56.3
74-89-5,CN,31.058,63.28917647490682,76.10000000000001
111-41-1,C(CNCCO)N,104.15299999999992,48.225308641975296,45.3
62-53-3,C1=CC=C(C=C1)N,93.12899999999996,50.58588572850757,53.0
646-25-3,C(CCCCCN)CCCCN,172.31600000000023,23.473649420106955,24.0
107-10-8,CCCN,59.11200000000002,47.62809695746952,47.7
75-31-0,CC(C)N,59.11200000000002,48.15839875250484,45.5
105-59-9,CN(CCO)CCO,119.16399999999992,43.51125375067007,42.0
107-12-0,CCC#N,55.08000000000001,42.66282587466259,42.6
591-22-0,CC1=CC(=CN=C1)C,107.15599999999996,40.41499735887993,38.4
583-58-4,CC1=C(C=NC=C1)C,107.15599999999996,40.41499735887993,40.6
110-59-8,CCCCC#N,83.13399999999996,33.6844488,35.8
119-65-3,C1=CC=C2C=NC=CC2=C1,129.16199999999998,44.14962307259302,50.7
124-12-9,CCCCCCCC#N,125.21499999999992,24.72725222613269,28.5
353-85-5,C(#N)C(F)(F)F,95.023,41.56965348783941,36.1
611-32-5,CC1=C2C(=CC=C1)C=CC=N2,143.18900000000005,38.29281442995785,42.2
109-76-2,C(CN)CN,74.12699999999995,51.60853481305325,57.0
107-15-3,C(CN)N,60.100000000000016,59.537418076512736,67.1
123-82-0,CCCCCC(C)N,115.21999999999991,30.024394820791898,29.0
100-61-8,CNC1=CC=CC=C1,107.15599999999992,41.83897350588842,52.0
311-89-7,C(C(C(F)(F)F)(F)F)(C(N(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,671.0850000000004,8.862984551552039,12.4
33966-50-6,CCC(C)N,73.13899999999995,42.33038953694363,40.0
110-60-1,C(CCN)CN,88.15399999999995,45.16418083015378,45.0
110-96-3,CC(C)CNCC(C)C,129.24699999999993,26.110690003705106,32.0
142-84-7,CCCNCCC,101.19299999999993,31.52623882,36.0
75-04-7,CCN,45.085000000000015,54.62662971721431,56.0
609-72-3,CC1=CC=CC=C1N(C)C,135.21000000000004,31.991564464282067,31.200000000000003
75-52-5,C[N+](=O)[O-],61.04000000000001,58.989950472037606,60.0
288-42-6,C1=COC=N1,69.06299999999999,66.20582995297399,68.0
111-26-2,CCCCCCN,101.19299999999993,33.143652211725616,34.0
107-13-1,C=CC#N,53.06400000000001,45.10353742533673,46.0
110-89-4,C1CCNCC1,85.14999999999995,48.56195898942564,47.0
91-22-5,C1=CC=C2C(=C1)C=CC=N2,129.16199999999998,44.14962307259302,47.5
929-06-6,C(COCCO)N,105.13699999999994,46.27701420704337,48.8
75-64-9,CC(C)(C)N,73.13899999999995,42.942856799314285,38.5
583-61-9,CC1=C(N=CC=C1)C,107.15599999999996,40.41499735887993,40.3
123-75-1,C1CCNC1,71.12299999999998,53.74910776481112,56.900000000000006
121-69-7,CN(C)C1=CC=CC=C1,121.18299999999992,36.42126142125232,36.3
124-40-3,CNC,45.085000000000015,51.23977190103139,53.4
2783-17-7,C(CCCCCCN)CCCCCN,200.37000000000023,19.64815653,20.0
108-47-4,CC1=CC(=NC=C1)C,107.15599999999996,40.41499735887993,38.3
107-11-9,C=CCN,57.09600000000002,50.51400526052851,48.3
124-09-4,C(CCCN)CCN,116.20799999999991,35.430839002267554,36.0
75-05-8,CC#N,41.053,48.56195898942562,48.8
91-63-4,CC1=NC2=CC=CC=C2C=C1,143.18900000000005,38.29281442995785,39.1
109-74-0,CCCC#N,69.10699999999997,37.77677627346456,38.2
