CAS Reg. No.,PubChem SMILES,Mol. wt.,JR Tb /K,CRC Tb /K
495-20-5,CCC(C1CCCCN1)O,143.23000000000013,542.48,499.15
87-59-2,CC1=C(C(=CC=C1)N)C,121.18299999999994,491.81,496.15
609-40-5,C1=CSC(=C1)[N+](=O)[O-],129.14,514.04,497.65
100-17-4,COC1=CC=C(C=C1)[N+](=O)[O-],153.13700000000006,565.68,532.15
114-91-0,COCCC1=CC=CC=N1,137.18200000000007,485.44,476.15
603-83-8,CC1=C(C=CC=C1[N+](=O)[O-])N,152.15300000000008,620.77,578.15
1190-76-7,CC=CC#N,67.09099999999998,397.36,379.15
617-83-4,CCN(CC)C#N,98.14899999999994,428.52,460.15
1761-71-3,C1CC(CCC1CC2CCC(CC2)N)N,210.36500000000024,671.8599999999999,593.15
5153-67-3,C1=CC=C(C=C1)C=C[N+](=O)[O-],149.14900000000006,565.3199999999999,528.15
109-06-8,CC1=CC=CC=N1,93.12899999999996,417.26,402.55
139-87-7,CCN(CCO)CCO,133.19099999999997,533.68,521.15
1008-88-4,C1=CC=C(C=C1)C2=CN=CC=C2,155.20000000000007,558.3399999999999,547.15
638-65-3,CCCCCCCCCCCCCCCCCC#N,265.485,713.52,635.15
108-01-0,CN(C)CCO,89.13799999999993,395.74,403.85
625-82-1,CC1=CC(=CN1)C,95.14499999999995,413.66,438.15
78-81-9,CC(C)CN,73.13899999999995,363.21,341.95
109-56-8,CC(C)NCCO,103.16499999999994,455.91,442.15
75-86-5,CC(C)(C#N)O,85.10599999999997,482.15,453.15
626-55-1,C1=CC(=CN=C1)Br,157.99800000000005,460.54,445.15
109-55-7,CN(C)CCCN,102.18099999999993,398.97,402.15
104-75-6,CCCCC(CC)CN,129.24699999999993,454.73,445.15
96-80-0,CC(C)N(CCO)C(C)C,145.24600000000015,486.38,468.15
5459-93-8,CCNC1CCCCC1,127.2309999999999,452.36,437.15
1113-68-4,CC(=O)N(C)C(=O)C,115.13199999999996,434.18,468.15
273-13-2,C1=CC2=NSN=C2C=C1,136.17900000000003,534.3399999999999,479.15
127-19-5,CC(=O)N(C)C,87.12199999999996,357.42999999999995,439.05
141-86-6,C1=CC(=NC(=C1)N)N,109.13199999999998,544.42,558.15
356-16-1,C(C([N+](=O)[O-])(F)F)([N+](=O)[O-])(F)F,192.024,539.66,331.65
769-68-6,CCC(C#N)C1=CC=CC=C1,145.2050000000001,556.72,514.15
585-79-5,C1=CC(=CC(=C1)Br)[N+](=O)[O-],202.007,586.54,538.15
589-08-2,CNCCC1=CC=CC=C1,135.21,482.37,479.15
108-91-8,C1CCC(CC1)N,99.17699999999994,428.96,406.75
5424-21-5,CC1=CC(=NC(=N1)Cl)Cl,163.00700000000006,532.9,492.15
109-83-1,CNCCO,75.11099999999995,410.59,432.39
636-30-6,C1=C(C(=CC(=C1Cl)Cl)Cl)N,196.46400000000003,563.3199999999999,543.15
65530-93-0,CCCC(C)CCN,115.21999999999991,431.85,422.15
102-45-4,CC(CC1CCCC1)NC,141.2580000000001,470.53,444.15
100-70-9,C1=CC=NC(=C1)C#N,104.11199999999998,519.3399999999999,497.65
124-68-5,CC(C)(CO)N,89.13799999999995,452.6,436.95
10024-74-5,CC(C1=CC=CC=C1)NC(C)C2=CC=CC=C2,225.3350000000001,668.3299999999999,569.65
589-09-3,C=CCNC1=CC=CC=C1,133.19400000000002,479.05,492.15
99-65-0,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],168.108,672.22,569.15
2470-68-0,CCCCCCCNCCCCCCC,213.40900000000028,570.0899999999999,539.15
110-18-9,CN(C)CCN(C)C,116.20799999999991,361.76,394.15
102-27-2,CCNC1=CC=CC(=C1)C,135.21,487.35,494.15
543-28-2,CC(C)COC(=O)N,117.14799999999994,444.31,480.15
100-12-9,CCC1=CC=C(C=C1)[N+](=O)[O-],151.16500000000008,566.1399999999999,518.65
104-13-2,CCCCC1=CC=C(C=C1)N,149.2370000000001,532.5899999999999,534.15
23578-35-0,CC(C)(CCC(C)(C)N)N,144.26200000000014,521.24,457.15
67-51-6,CC1=CC(=NN1)C,96.13299999999995,444.48,491.15
611-21-2,CC1=CC=CC=C1NC,121.18299999999994,464.47,480.65
122-80-5,CC(=O)NC1=CC=C(C=C1)N,150.18100000000007,590.87,540.15
95-16-9,C1=CC=C2C(=C1)N=CS2,135.19100000000003,503.52,507.75
372-48-5,C1=CC=NC(=C1)F,97.09199999999998,393.65,398.15
536-78-7,CCC1=CN=CC=C1,107.15599999999996,440.14,439.15
606-27-9,COC(=O)C1=CC=CC=C1[N+](=O)[O-],181.14700000000005,624.3599999999999,548.15
147-47-7,CC1=CC(NC2=CC=CC=C12)(C)C,173.25900000000013,569.76,533.15
506-68-3,C(#N)Br,105.922,390.72,334.65
529-21-5,CCC1=C(C=CN=C1)C,121.18299999999994,468.0,471.15
102-79-4,CCCCN(CCO)CCO,161.24500000000018,579.44,552.15
3179-63-3,CN(C)CCCO,103.16499999999992,418.62,436.65
83-41-0,CC1=C(C(=CC=C1)[N+](=O)[O-])C,151.16500000000008,571.1199999999999,513.15
100-69-6,C=CC1=CC=CC=N1,105.13999999999996,436.82,432.65
107-85-7,CC(C)CCN,87.16599999999994,386.09,369.15
611-06-3,C1=CC(=C(C=C1Cl)Cl)[N+](=O)[O-],192.001,600.22,531.65
616-39-7,CCN(C)CC,87.16599999999993,326.43999999999994,339.04999999999995
1003-03-8,C1CCC(C1)N,85.14999999999995,401.81,381.65
108-03-2,CCC[N+](=O)[O-],89.09399999999997,420.08,404.35
618-36-0,CC(C1=CC=CC=C1)N,121.18299999999994,481.41,466.15
629-01-6,CCCCCCCC(=O)N,143.23000000000013,509.04,512.15
