Mol. wt.,JR Vc /(cm3 mol-1),CRC Vc /(cm3 mol-1)
41.053,173.5,173.0
57.09600000000002,213.5,217.0
105.13699999999994,325.5,333.0
93.12899999999996,292.5,291.0
103.16899999999994,352.5,350.0
88.15399999999995,317.5,317.0
73.13899999999995,288.5,291.0
73.13899999999995,277.5,293.0
99.17699999999994,333.5,349.0
73.13899999999995,294.5,304.0
101.19299999999993,394.5,407.0
121.18299999999992,393.5,407.0
107.15599999999996,368.5,363.0
107.15599999999992,368.5,353.0
107.15599999999996,368.5,353.0
107.15599999999996,368.5,369.0
157.2160000000001,514.5,505.0
101.19299999999993,406.5,414.0
60.100000000000016,205.5,204.0
61.08400000000002,195.5,207.0
45.085000000000015,176.5,183.0
115.21999999999991,450.5,455.0
116.20799999999991,429.5,446.0
97.16099999999994,397.5,378.0
101.19299999999993,400.5,402.0
59.11200000000002,226.5,231.0
129.16199999999998,402.5,380.0
31.058,120.5,139.0
107.15599999999996,348.5,377.0
107.15599999999996,348.5,346.0
107.15599999999996,348.5,334.0
107.15599999999992,354.5,347.0
135.21000000000004,449.5,466.0
143.18900000000005,458.5,447.0
61.04000000000001,173.5,175.0
144.26200000000014,541.5,547.0
125.21499999999992,509.5,494.0
129.24699999999993,512.5,494.0
69.06299999999999,187.5,185.0
83.13399999999996,341.5,320.0
86.13799999999995,267.5,283.0
85.14999999999995,286.5,294.0
74.12699999999995,261.5,257.0
55.08000000000001,229.5,211.0
59.11200000000002,232.5,230.0
80.08999999999997,249.5,225.0
79.10199999999998,256.5,248.0
67.09099999999998,210.5,222.0
71.12299999999998,238.5,259.0
129.16199999999998,402.5,382.0
101.19299999999993,389.5,392.0
95.023,216.5,202.0
59.112000000000016,221.5,254.0
