Original_Index,Outlier_Value
74,9.9
221,5.7
325,8.8
454,6.6
546,7.7
549,8.0
550,7.5
555,6.9
556,7.4
557,8.0
566,9.6
730,6.0
770,8.0
771,8.5
778,6.9
883,6.4
884,-2.9
937,13.8
938,5.8
944,7.3
956,10.5
958,5.7
960,7.9
973,-3.4
982,-3.5
1005,-4.3
1019,-3.1
1030,-3.4
1043,-3.0
1049,-4.1
1050,-4.1
1061,-2.8
1062,-2.9
1075,-3.8
1104,-3.4
1106,-2.8
1173,6.2
1230,-3.7
1231,-3.1
1233,-4.0
1234,6.3
1239,9.0
1314,-4.3
1317,7.2
1351,6.2
1352,6.1
1353,6.0
1360,-3.1
1363,6.2
1364,-2.8
1377,-4.6
1384,6.0
1385,6.0
1386,6.0
1387,5.9
1388,6.4
1421,11.0
1487,-2.9
1502,9.1
1505,7.5
1545,17.5
1550,6.6
1566,-5.0
1569,8.8
1572,7.2
1579,8.118100000000009
1605,15.7
1607,-3.0
1619,6.8
1623,5.7
1638,-3.1
1639,-4.5
1640,-9.1
1643,-4.1
1644,-4.9
1645,-2.9
1653,5.7
1660,-3.4
1661,-5.6
1693,9.4
1694,-3.3
1706,-3.3
1753,-3.0
1757,8.2
1798,6.3
1809,7.1
1815,-3.3
1859,5.7
1969,6.8
1970,6.6
1971,7.1
1972,7.6
1975,-4.4
1993,-5.7
1996,-8.5
2020,5.7
2041,-3.0
2070,6.6
2098,6.0
2117,6.2
2121,7.1
2130,5.9
2132,5.8
2165,17.0
2188,5.7
2190,-2.9
2201,9.1
2348,-2.8
2459,6.3
2560,6.1
2663,-3.4
2675,-3.1
2763,-3.2
2885,-2.8
2886,10.7
2899,-3.4
2901,-2.8
2916,-3.0
2967,-3.1
3001,6.0
3004,-6.3
3009,7.4
3019,-5.9
3032,-3.7
3033,-3.1
3034,-3.2
3035,-2.9
3039,5.7
3048,-3.3
3059,-4.4
3063,-3.0
3150,-3.8
3208,6.3
3217,5.8
3228,5.7
3309,-2.8
3311,-2.8
3313,6.1
3336,6.7
3360,6.8
3423,-3.1
3432,-2.9
3436,-2.9
3453,-2.9
