SMILES,BoilingPoint,MeltingPoint,CriticalTemp,CriticalPress,CriticalVolume,Molecular Weight,EnthalpyVap,Log P
CC#N,347.44,177.29,541.6792346258255,48.56195898942562,173.5,41.053,30.524,0.52988
C=CC#N,367.0,186.8,564.8147555346306,45.10353742533673,210.5,53.06400000000001,32.08,0.6959799999999999
CC(C)(CO)N,452.6,281.34000000000003,639.5291528078467,48.6297119759419,296.5,89.13799999999995,50.522000000000006,-0.2839999999999999
C1=CC=C(C=C1)N,436.09,267.06,666.317441702839,50.58588572850757,292.5,93.12899999999996,41.867,1.2687999999999997
C1=CC=C(C=C1)C#N,488.52,260.06,724.5657896526423,39.85562697683909,345.5,103.12399999999997,43.93000000000001,1.55828
CCCC#N,393.2,199.83,585.4280961564159,37.77677627346456,285.5,69.10699999999997,34.976,1.31008
CCCCN,363.65,218.1,545.4252381283993,41.893151517055735,288.5,73.13899999999995,35.139,0.7452000000000001
CCC(C)N,363.21,203.1,549.470531944236,42.33038953694363,282.5,73.13899999999995,34.751000000000005,0.7436
CC(C)(C)N,360.42,220.52,555.037431301182,42.942856799314285,277.5,73.13899999999995,33.843,0.7436
CCCCNCC,387.05,210.04,557.0141829295595,31.5262388156727,406.5,101.19299999999993,35.386,1.396
C1=CC=C(C(=C1)N)Cl,478.5,309.5,716.7695739060284,47.04191057897303,341.5,127.57399999999996,46.914,1.9222
C(#N)C#N,449.52,242.28,671.0381876738202,46.913116907487336,199.5,52.036,41.002,0.03356
C1CCC(CC1)N,428.96,248.02,649.9489954586452,42.60714845693951,333.5,99.17699999999994,40.02,1.2778
C1CC1C#N,399.94,217.77,609.4363184914139,44.62275698134187,242.5,67.09099999999998,34.889,0.91998
CCCCNCCCC,432.81,232.58,601.2617118817392,25.68891900771926,518.5,129.24699999999993,39.838,2.1762
C(CO)NCCO,525.65,309.14,687.7772477320001,50.657919732526175,332.5,105.13699999999994,64.292,-1.4394
CCNCC,341.29,187.5,511.6505862303792,39.60519952901496,294.5,73.13899999999995,30.934,0.6157999999999999
CC(C)NC(C)C,386.17,180.04,564.2000467495484,32.1004100827388,394.5,101.19299999999993,34.61,1.3927999999999998
CNC,295.53,164.95999999999998,464.41335438020144,51.23977190103139,182.5,45.085000000000015,26.482,-0.1644000000000001
CN(C)N,330.33,228.03,511.224371924343,54.465489304339535,194.5,60.100000000000016,32.730000000000004,-0.5783
CC(C)(C)C#N,412.85,213.52,616.7214279243933,34.439815733209905,330.5,83.13399999999996,35.906000000000006,1.55608
CC1=C(N=CC=C1)C,445.12,279.13,671.7053724463082,40.41499735887993,368.5,107.15599999999996,40.324,1.69844
CC1=CC(=NC=C1)C,445.12,279.13,671.7053724463082,40.41499735887993,368.5,107.15599999999996,40.324,1.69844
CC1=CN=C(C=C1)C,445.12,279.13,671.7053724463082,40.41499735887993,368.5,107.15599999999996,40.324,1.69844
CC1=NC(=CC=C1)C,445.12,279.13,671.7053724463082,40.41499735887993,368.5,107.15599999999992,40.324,1.69844
CC1=C(C=NC=C1)C,445.12,279.13,671.7053724463082,40.41499735887993,368.5,107.15599999999996,40.324,1.69844
CC1=CC(=CN=C1)C,445.12,279.13,671.7053724463082,40.41499735887993,368.5,107.15599999999996,40.324,1.69844
CCCNCCC,387.05,210.04,557.0141829295595,31.5262388156727,406.5,101.19299999999993,35.386,1.396
C(CN)N,390.42,278.82,591.6251984509911,59.537418076512736,205.5,60.100000000000016,41.328,-1.0961999999999998
C(CO)N,410.07,256.38,588.4348720105723,62.88829592213423,195.5,61.08400000000002,47.366,-1.0626
CCCCC(CC)CN,454.73,248.18,636.0025233662009,27.09850115480263,506.5,129.24699999999993,43.655,2.1615
CCNC(C)C,363.73,183.77,538.1567932311881,35.557717464777404,344.5,87.16599999999993,32.772,1.0043
CCCCCCN,409.41,240.64,589.430174163148,33.143652211725616,400.5,101.19299999999993,39.591,1.5254
CC(C)CN,363.21,203.1,549.470531944236,42.33038953694363,282.5,73.13899999999995,34.751000000000005,0.6011000000000001
CC(C)N,340.33,191.83,527.0376933771727,48.15839875250484,226.5,59.11200000000002,32.525000000000006,0.3535
CC(C)NC,340.85,172.5,515.3978529691271,40.00702523363102,288.5,73.13899999999997,30.546,0.6141999999999999
CCCNC(C)C,386.61,195.04,560.5366862206655,31.811381412418967,400.5,101.19299999999993,34.998,1.3944
C1=CC=C2C=NC=CC2=C1,504.88,321.85,757.7796881032957,44.14962307259302,402.5,129.16199999999998,45.754000000000005,2.2348
CC(=C)C#N,389.76,184.11,590.4125133278703,40.057683063611584,267.5,67.09099999999998,34.386,1.08608
CN,295.01,184.29,476.1440239397746,63.28917647490682,120.5,31.058,28.461,-0.4251
CC1=CC=CC=C1N,463.95,290.85,692.1042798493484,43.45390778820044,348.5,107.15599999999996,44.755,1.57722
