,SMILES,BoilingPoint,MeltingPoint,CriticalTemp,CriticalPress,CriticalVolume,EnthalpyForm,GibbsEnergy,HeatCapacity,EnthalpyVap,EnthalpyFus,LiquidVisco,CrystalSolub_1,CrystalSolub_2,AmorphSolub_1,AmorphSolub_2,Molecular Weight,Log P,Molecular Refractivity,TPSA,LabuteASA,FractionCSP3,HallKierAlpha,HeavyAtomMolWt,Ipc,BertzCT,BalabanJ,Kappa1,Kappa2,Kappa3,Num_of_Atoms,Num_Hetero_Atoms,Num_H_Donors,Num_H_Acceptors,Num_Rot_Bonds,Num_Valence_Electrons,Heavy_Atom_Count,NHOHCount,NOCount,RingCount,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumAliphaticCarbocycles,NumAliphaticHeterocycles,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_ArN,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_COO,fr_COO2,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_HOCCN,fr_imidazole,fr_imide,fr_Imine,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_NH0,fr_NH1,fr_NH2,fr_Nhpyrrole,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_SH,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,OCCN(CCO)CCO,625.86,372.31,782.3912685,43.28254848,446.5,-556.33,-300.04,199.3171306,81.03,26.581,NA,9264878.193,4643438.672,51377348.16,25749670.99,149.19,-1.7347,37.6974,63.93,82.0410648,1,-0.16,134.07,57007.53766,399.6146218,6.778712722,1.352966758,6.953122172,4.693790872,25,4,3,4,9,62,10,3,4,0,0,0,0,0,0,0,0,0,0,20.69867061,19.67195847,4.671958467,10.79800592,9.2579377,2.033192829,0.977006611,0.977006611,0.472340836,0.472340836,0.220783189,0.220783189,44.06744451,0,0,0,0,0,0,15.32642457,20.74270165,0,0,15.32642457,4.899909731,0,0,0,0,0,27.71513039,27.90150707,0,0,4.293598972,0,0,31.77552725,4.293598972,4.899909731,0,0,39.16753478,0,0,0,0,0,63.68746806,0,0,16.44910267,0,0,0,0,0,0,0,109.1302806,-0.95375,10.43827806,0,0,0,0,-23.61480867,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OCCN(CCO)CCO,625.86,372.31,782.3912685,43.28254848,446.5,-556.33,-300.04,199.3171306,81.03,26.581,NA,9264878.193,4643438.672,51377348.16,25749670.99,149.19,-1.7347,37.6974,63.93,82.0410648,1,-0.16,134.07,57007.53766,399.6146218,6.778712722,1.352966758,6.953122172,4.693790872,25,4,3,4,9,62,10,3,4,0,0,0,0,0,0,0,0,0,0,20.69867061,19.67195847,4.671958467,10.79800592,9.2579377,2.033192829,0.977006611,0.977006611,0.472340836,0.472340836,0.220783189,0.220783189,44.06744451,0,0,0,0,0,0,15.32642457,20.74270165,0,0,15.32642457,4.899909731,0,0,0,0,0,27.71513039,27.90150707,0,0,4.293598972,0,0,31.77552725,4.293598972,4.899909731,0,0,39.16753478,0,0,0,0,0,63.68746806,0,0,16.44910267,0,0,0,0,0,0,0,109.1302806,-0.95375,10.43827806,0,0,0,0,-23.61480867,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CN(C)c1ccc(C=O)cc1,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,149.193,1.5651,46.1565,20.31,81.90226073,0.222222222,-1.31,138.105,22264.36505,574.4545777,3.85527138,1.709394682,3.191164646,1.802305551,22,2,0,2,4,58,11,0,2,1,1,0,0,1,0,0,0,0,0,17.61880215,16.35546189,5.355461886,9.708118551,8.124944538,2.624944538,1.661079067,1.661079067,0.937472269,0.937472269,0.468736135,0.468736135,55.63437856,4.899909731,0,0,0,0,0,0,15.07834412,4.794537184,0,4.899909731,4.794537184,0,0,0,0,24.16967483,33.4270429,5.483034225,7.632970719,0,0,0,0,19.8728813,0,0,0,0,18.85156353,29.73312632,0,0,11.94959844,4.899909731,20.21386596,0,0,25.43633279,24.16967483,0,0,0,5.687386275,0,0,81.04088081,10.90901857,0,-1.824274376,0,-3.9475,-1.48808579,-6.523372543,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Nc1ccc(cc1)[N+]([O-])=O,592.91,423.19,856.6495866,50.37070319,374.5,100.92,204.42,135.5330628,59.12,21.506,NA,3257.432576,1632.583622,19848.05605,9947.592306,138.126,1.177,37.5088,69.16,65.9702058,0,-1.58,132.078,2268.422146,433.8173619,3.697873571,2.229407107,2.344994096,1.222616942,16,4,1,3,2,52,10,2,4,1,1,0,0,1,0,0,0,0,0,12.61880215,10.71092377,4.710923772,7.28546882,5.206789158,2.312361967,1.454323381,1.454323381,0.781180984,0.781180984,0.390590492,0.390590492,40.46775843,5.719716976,0,0,0,0,0,0,8.306718381,10.11431827,0,5.719716976,10.11431827,0,0,0,0,12.08483742,17.77222369,10.40634527,0,2.823684157,0,5.687386275,0,13.23002943,0,0,0,0,5.719716976,34.2839931,0,0,11.37477255,5.719716976,4.923311049,0,10.11431827,5.483034225,24.16967483,2.823684157,0,0,11.37477255,0,0,42.97411565,9.494684429,10.519726,-1.688896447,0,-3.29962963,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NCCCCCCCC(O)=O,600.68,423.78,794.6595723,29.536862,536.5,-504.93,-260.98,224.3237922,61.207,31.816,NA,2373.679984,1189.658105,34573.64262,17327.8683,159.229,1.3703,44.3922,63.32,91.6767744,0.875,-0.57,142.093,183065.3587,597.9648002,6.672265227,1.327741004,7.536044539,9.43,28,3,2,3,8,66,11,3,3,0,0,0,0,0,0,0,0,0,0,23.36180732,22.26371018,5.263710176,11.92475615,10.68453057,2.381855088,1.149260877,1.149260877,0.470463772,0.470463772,0.203981886,0.203981886,56.42343136,0,0,0,0,0,0,5.108808191,23.4455036,4.794537184,0,10.82852517,4.794537184,0,0,0,19.1187747,19.24270949,25.56354469,0,2.823684157,0,0,1.431199657,5.969305288,31.91764932,1.431199657,0,5.719716976,38.23754941,6.496859684,0,0,0,5.969305288,5.719716976,17.57497316,4.794537184,0,57.42816919,0,2.823684157,1.431199657,0,0,0,0,125.8751408,11.35107101,3.270658591,-0.92871801,-2.278177949,0,-25.50403321,-3.869274573,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
