SMILES,DB_MolecularWeight,DB_BoilingPoint,DB_MeltingPoint,Original_MolecularWeight,Original_BoilingPoint,Original_MeltingPoint
OCCN(CCO)CCO,149.19,350.0,21.5,149.19,625.86,372.31
OCCN(CCO)CCO,149.19,350.0,21.5,149.19,625.86,372.31
Nc1ccc(cc1)[N+]([O-])=O,138.12,332.0,146.0,138.126,592.91,423.19
NCCCCCCCC(O)=O,159.23,,,159.229,600.68,423.78
NCc1ccccc1,107.15,185.0,10.0,107.156,458.97,278.33
CNC1CCCCC1,113.20,,,113.204,429.48,228.69
ONc1ccccc1,109.13,,82.0,109.128,505.91,297.28
CCCN,59.11,-49.0,-83.0,59.112,340.77,206.83
CN(C)c1ccc(N(C)C)cc1[N+](=O)[O-],209.24,,,209.249,641.76,462.47
OCCN(CCO)CCO,149.19,350.0,21.5,149.19,625.86,372.31
CCC(C)C(SC)=O,132.23,,,132.228,459.09,226.71
CCC(C)C(SC)=O,132.23,,,132.228,459.09,226.71
CCC(C)C(=O)N(C)c(ccc1)cc1C,205.30,,,205.301,594.57,342.61
C[C@@H](N)CCl,93.55,,,93.557,377.76,221.75
CNCC(N)C,88.15,,,88.154,413.38,255.76
C[C@@H](N)C=O,73.09,,,73.095,388.99,233.83
CO[C@H](CN)C(F)(F)F,143.11,,,143.108,380.21,229.52
C[C@@](N)(CN)C(F)(F)F,142.12,,,142.124,427.53,307.97
C[C@@H](N)CC(F)F,109.12,,,109.119,361.31,189.28
C[C@@H](N)CC(C)(C)F,119.18,,,119.183,405.01,228.65
CCC(C)C(=O)N(C)c1ccccc1,191.27,,,191.274,566.71,318.82
CNC(C)C(C)(C)C,115.22,,,115.22,406.26,208.73
CN(C)C(C)C(C)C,115.22,,,115.22,371.32,171.12
CC[C@@H](C)N(C)CC,115.22,,,115.22,371.76,186.12
CCC[C@@H](C)NC,101.19,,,101.193,386.61,195.04
CCC(C)C(=O)N(C)c(ccc1)cc1C,205.30,,,205.301,594.57,342.61
C[C@](N)(F)C(F)F,113.08,,,113.082,334.91,196.02
CC[C@H](N)C(F)F,109.12,,,109.119,361.31,189.28
C[C@H](N)CF,77.10,,,77.102,339.6,192.42
NC[C@H](N)C(F)(F)F,128.10,,,128.097,407.44,279.28
C[C@H](CN)CC(F)(F)F,141.13,,,141.136,380.67,218.56
CCC(C)C(=O)N(C)c1ccccc1,191.27,,,191.274,566.71,318.82
CCCC(C)N(C)C,115.22,,,115.22,371.76,186.12
CCC[C@H](C)NC,101.19,,,101.193,386.61,195.04
C[C@H](N)[C@H](C)Cl,107.58,,,107.584,400.2,218.02
C[C@H](N)[C@H](C)F,91.13,,,91.129,362.04,188.69
CCC(C)CCN,101.19,,,101.193,408.97,225.64
CC(C)[C@@H](N)CC(F)(F)F,155.16,,,155.163,403.11,214.83
CC[C@H](N)C(C)C,101.19,,,101.193,408.53,210.64
C[C@H](N)C(=O)C(F)(F)F,141.09,,,141.092,411.66,257.22
CCOc1ccc(NC(N)=O)cc1,180.20,,173.5,180.207,636.17,438.21
CN(C)CC=O,87.12,,,87.122,352.22,209.31
NC/C=C/Cl,,,,91.541,382.36,231.67
C/C=C/N,,,,57.096,344.93,201.75
CNCC#N,,,,70.095,420.49,241.22
CCC[C@@H](N)C(F)(F)F,141.13,,,141.136,380.67,218.56
CC(C)C[C@@H](N)C(F)(F)F,155.16,,,155.163,403.11,214.83
CC(C)(C)[C@@H](N)C(F)(F)F,155.16,,,155.163,400.32,232.25
CN[C@H](C)C(F)(F)F,127.11,,,127.109,335.43,176.69
N[C@@H](CC(F)(F)F)C(F)(F)F,181.08,,,181.079,352.37,211.48
C/C=C(/N)O,,,,73.095,436.99,248.61
NC\C=C/Cl,,,,91.541,382.36,231.67
CNC=CN,72.11,,,72.111,395.1,254.41
C\C=C/N,,,,57.096,344.93,201.75
CN(C)c1ccc(cc1)C(=O)c2ccccc2,225.28,,,225.291,667.45,406.57
NCc1cc(Cl)cc(Cl)c1,176.04,,,176.046,543.79,363.21
NCc1cc(F)cc(F)c1,143.13,,,143.136,467.47,304.55
NCc1cccc(Cl)c1,141.60,,,141.601,501.38,320.77
NCc1cccc(F)c1,125.14,,,125.146,463.22,291.44
CN(C)Cc1cccc(F)c1,153.20,,,153.2,448.89,263.19
COc1cccc(CN)c1,137.18,,,137.182,509.25,324.35
NCc1cccc(c1)[N+]([O-])=O,152.15,,,152.153,615.79,434.46
CCC(=O)c1ccc(N)cc1,149.19,,140.0,149.193,563.58,363.32
CC(O)CN(C)C,103.16,,,103.165,418.18,224.4
CNc1cccc2C(=O)c3ccccc3C(=O)c12,237.25,,,237.258,804.05,564.01
CCC(N)(F)C(F)(F)C(F)(F)F,195.11,,,195.106,372.46,240.17
NC(F)(C(F)(F)F)C(F)(F)F,185.04,,,185.042,325.97,218.22
NC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,235.05,,,235.049,344.16,233.09
NC(F)(C(F)F)C(F)(F)F,167.05,,,167.052,329.49,200.21
CC(N)(F)C(F)(F)F,131.07,,,131.072,331.39,214.03
CNC(CC(F)(F)F)C(F)(F)F,195.11,,,195.106,352.89,192.15
CC(C)(N)C(F)(F)F,127.11,,,127.109,355,224.71
CCC(N)C(F)(F)F,127.11,,,127.109,357.79,207.29
FCN(C(F)(F)F)C(F)(F)F,185.04,,,185.042,269.11,165.01
FCN(C)C(F)(F)F,131.07,,,131.072,274.53,160.82
CNC(C(C)C)C(F)(F)F,155.16,,,155.163,380.75,184.23
CCC(C)C(NC)C(F)(F)F,169.19,,,169.19,403.63,195.5
CN(C)C(C(C)C)C(F)(F)F,169.19,,,169.19,365.9,175.31
CCC(NC)C(F)(F)F,141.13,,,141.136,358.31,187.96
CNC(F)(F)F,99.06,,,99.055,290.11,169.15
