Mol. Wt.,CRC Hvap /(kJ mol-1)
60.052000000000014,23.7
41.053,29.75
56.064000000000014,28.3
100.11699999999996,36.3
89.13799999999995,50.6
108.13999999999994,38.97
110.18099999999995,39.93
150.17700000000008,49.4
212.24800000000008,53.6
143.0130000000001,45.2
129.384,30.0
197.381,28.08
106.94999999999996,23.4
137.02000000000007,29.23
207.07,39.3
122.99299999999997,28.33
120.97699999999998,30.24
72.10699999999996,31.5
58.12400000000002,22.44
69.10699999999997,33.68
74.12299999999995,43.29
72.10699999999997,31.3
56.10800000000002,22.07
116.15999999999993,36.28
116.15999999999994,33.07
73.13899999999995,28.27
126.2429999999999,36.16
102.17699999999992,31.63
130.23099999999994,33.11
88.14999999999993,29.55
116.20399999999992,33.72
54.09200000000001,24.52
86.08999999999997,42.773
127.57399999999996,44.4
92.56899999999996,30.39
64.51500000000001,24.65
62.49900000000001,20.8
50.48800000000001,21.4
92.56899999999996,29.22
162.61900000000006,52.1
106.59599999999996,33.15
78.54199999999997,26.3
76.52599999999998,29.0
104.458,15.8
108.13999999999994,45.19
52.036,23.33
56.10800000000002,24.19
82.14599999999994,30.46
70.13499999999998,27.3
102.20199999999994,35.32
67.09099999999998,35.55
138.25400000000005,41.0
142.2860000000001,39.58
187.862,34.77
201.88900000000007,35.61
259.822,27.03
130.23099999999994,36.49
130.23099999999994,32.15
146.29900000000015,33.26
147.00400000000002,38.62
120.913,20.1
98.95999999999998,28.85
96.944,30.2
116.95,26.06
220.927,26.28
84.93299999999999,28.06
112.98699999999998,35.18
118.17599999999992,36.28
104.14899999999992,31.33
122.25799999999995,37.58
134.175,36.17
120.14799999999993,46.6
160.1690000000001,54.8
128.2589999999999,34.61
114.09399999999998,32.21
114.09399999999998,31.1
86.15899999999996,33.24
86.15899999999996,34.83
101.19299999999993,30.4
118.24499999999992,33.8
90.12199999999994,32.42
45.085000000000015,26.4
100.16099999999992,33.39
84.16199999999994,29.64
112.21599999999992,32.96
112.21599999999992,33.28
94.20399999999998,33.78
114.2319999999999,33.17
114.2319999999999,32.51
114.2319999999999,32.31
60.100000000000016,32.55
100.20499999999991,29.23
100.20499999999991,30.46
100.20499999999991,29.62
114.18799999999992,34.64
107.15599999999996,38.53
107.15599999999996,38.68
107.15599999999996,39.99
107.15599999999996,39.46
62.137000000000015,27.0
88.10599999999995,34.37
88.10599999999995,34.16
170.21100000000007,48.2
101.19299999999993,33.47
102.17699999999994,31.31
118.24499999999992,36.6
170.34000000000023,44.09
282.5559999999996,58.49
72.10699999999996,30.3
30.07,14.69
60.100000000000016,37.98
62.06800000000002,50.5
94.20399999999998,37.93
62.137000000000015,26.79
46.06900000000002,38.56
61.08400000000002,49.83
90.12199999999994,39.22
132.159,40.76
104.14899999999992,34.33
88.10599999999995,31.94
100.11699999999996,34.7
106.16799999999994,35.57
116.15999999999993,35.47
102.17699999999992,43.2
122.55099999999996,40.43
84.16199999999994,28.67
112.21599999999992,34.04
98.18899999999992,31.96
130.18699999999995,34.51
28.053999999999995,13.53
114.2319999999999,33.59
130.23099999999994,54.2
172.26800000000017,43.5
129.24699999999993,40.0
87.16599999999993,29.94
88.14999999999993,28.21
104.21799999999992,32.74
130.18699999999995,37.0
112.21599999999992,33.2
114.2319999999999,32.93
114.2319999999999,32.78
116.15999999999993,33.67
76.16399999999996,29.53
100.20499999999991,31.12
130.18699999999995,36.96
116.20399999999992,34.41
102.13299999999995,33.88
88.14999999999995,28.94
104.21799999999992,34.24
72.10699999999996,26.2
96.10399999999996,31.19
132.22199999999998,40.43
110.13099999999996,35.4
110.13099999999996,34.08
68.07499999999997,27.1
98.10099999999996,53.6
92.09399999999997,61.0
240.4750000000003,53.58
100.20499999999991,31.77
116.20399999999992,42.5
226.4480000000003,51.84
208.057,27.05
186.054,31.66
138.01000000000002,16.15
86.17799999999993,28.85
102.17699999999992,44.5
100.16099999999992,36.35
100.16099999999992,35.36
101.19299999999993,36.54
118.17899999999992,39.63
204.01,39.5
184.02000000000007,34.66
155.96600000000004,29.44
141.93900000000002,27.34
184.02000000000007,33.54
184.02000000000007,31.43
169.99300000000008,32.08
169.99300000000008,30.68
58.12400000000002,21.3
116.15999999999993,35.9
73.13899999999995,30.61
144.21400000000014,38.2
88.14999999999993,28.02
72.15099999999997,24.69
130.18699999999995,37.5
172.26800000000017,45.9
102.13299999999995,32.93
59.11200000000002,27.83
112.21599999999992,33.56
73.13899999999997,28.71
134.222,38.2
74.12299999999996,26.05
90.19099999999996,30.71
101.19299999999993,32.14
118.24499999999992,35.11
129.16199999999998,49.0
98.14499999999994,36.1
32.041999999999994,35.21
76.09499999999996,37.54
118.13199999999996,43.9
74.07899999999998,30.32
86.08999999999997,33.1
67.09099999999998,31.8
31.058,25.6
107.15599999999996,44.6
107.15599999999996,44.9
107.15599999999996,44.3
96.17299999999992,31.07
83.13399999999996,35.1
104.21799999999992,33.79
104.21799999999992,31.37
102.13299999999994,33.79
88.14999999999993,44.07
88.14999999999993,39.04
86.13399999999994,32.35
70.13499999999998,25.5
70.13499999999998,26.31
88.14999999999993,27.94
108.524,39.23
99.08899999999998,48.2
114.14399999999996,37.13
98.18899999999992,31.27
114.18799999999992,45.951
114.18799999999992,53.0
84.16199999999994,29.08
100.11699999999996,35.25
156.31300000000022,40.25
156.31300000000022,40.7
142.96900000000005,39.28
116.15999999999993,33.42
114.2319999999999,33.26
114.2319999999999,33.66
114.2319999999999,33.35
100.20499999999991,30.62
100.20499999999991,30.9
130.18699999999995,38.55
46.073000000000015,36.12
102.13299999999994,32.61
100.11699999999996,36.0
142.20100000000008,45.5
142.2860000000001,38.23
