Mol. wt.,CRC Tb /K
302.4579999999994,712.65
152.19600000000003,553.15
59.06800000000001,388.39
135.16600000000005,565.15
170.21100000000007,570.15
58.08000000000001,329.23
112.17599999999992,406.15
120.15099999999994,475.25
150.17700000000008,527.15
78.49799999999999,324.15
169.94900000000004,382.15
168.14800000000005,543.15
116.11599999999994,444.15
56.064000000000014,325.45
72.06299999999999,415.15
232.3230000000001,548.15
100.11699999999996,377.15
112.12799999999996,394.15
57.09600000000002,327.15
118.17899999999992,431.15
128.17099999999994,415.15
140.22600000000008,463.15
110.19999999999992,400.15
178.2310000000001,527.8499999999999
86.13399999999994,338.15
114.14399999999996,427.15
83.08999999999997,361.15
206.2410000000001,554.15
102.13299999999995,431.65
134.17800000000005,511.15
114.14399999999996,396.15
84.11799999999997,339.15
122.17099999999996,542.15
125.19599999999996,507.15
118.13899999999995,562.15
169.2270000000001,575.15
89.13799999999996,476.15
104.15299999999992,515.15
171.2840000000002,538.15
109.12799999999996,540.15
135.16600000000005,524.15
135.16600000000005,567.15
75.11099999999996,447.65
75.11099999999996,414.15
132.159,538.15
108.13999999999994,426.75
208.21600000000004,650.15
57.09600000000001,331.15
114.19199999999992,387.15
128.17399999999995,522.15
121.13899999999995,579.15
78.11399999999996,353.23
136.15000000000006,541.15
164.2040000000001,569.15
108.14399999999996,530.15
108.14399999999996,540.15
203.02400000000003,549.15
136.19800000000006,520.15
142.24800000000005,518.15
122.16699999999992,493.15
178.2310000000001,583.15
131.178,534.15
136.19400000000005,514.15
126.11099999999996,580.15
184.2420000000001,674.15
118.13899999999995,633.15
252.3160000000001,753.15
216.28300000000007,674.15
162.14400000000003,585.65
122.12299999999996,523.3499999999999
103.12399999999997,464.15
212.25200000000007,587.15
146.14500000000004,574.8499999999999
179.2220000000001,625.15
136.17900000000003,479.15
151.19000000000003,633.15
119.12299999999996,458.45
211.22000000000008,611.15
185.02,493.15
124.11399999999996,427.65
162.18800000000007,501.15
107.15599999999996,458.15
183.2540000000001,573.15
212.24800000000008,594.45
312.36499999999967,643.15
211.3080000000001,561.15
208.21300000000008,493.15
182.2660000000001,554.15
192.25800000000007,518.15
178.2310000000001,501.15
184.23800000000008,585.15
184.23800000000008,558.15
164.2040000000001,497.15
169.22700000000006,561.15
149.21800000000005,505.15
96.17299999999992,386.95
94.15699999999994,368.84
138.25400000000005,463.61
152.23700000000014,505.65
254.33200000000008,725.15
154.21200000000007,528.3499999999999
186.2100000000001,593.15
156.18800000000007,546.15
156.18800000000007,556.15
