Mol. wt.,JR Tb /K,CRC Tb /K
302.4579999999994,847.9300000000001,712.65
152.19600000000003,536.0799999999999,553.15
59.06800000000001,414.22,388.39
135.16600000000005,513.3599999999999,565.15
170.21100000000007,578.67,570.15
58.08000000000001,322.11,329.23
112.17599999999992,490.0,406.15
120.15099999999994,463.19,475.25
150.17700000000008,513.47,527.15
78.49799999999999,336.66,324.15
169.94900000000004,392.37,382.15
168.14800000000005,577.7,543.15
116.11599999999994,426.09,444.15
56.064000000000014,313.58,325.45
72.06299999999999,410.43,415.15
232.3230000000001,628.6499999999999,548.15
100.11699999999996,368.9,377.15
112.12799999999996,388.46,394.15
57.09600000000002,337.45,327.15
118.17899999999992,428.88,431.15
128.17099999999994,414.66,415.15
140.22600000000008,514.17,463.15
110.19999999999992,394.6,400.15
178.2310000000001,529.44,527.8499999999999
86.13399999999994,333.1,338.15
114.14399999999996,389.67,427.15
83.08999999999997,354.47,361.15
206.2410000000001,588.1199999999999,554.15
102.13299999999995,425.28,431.65
134.17800000000005,509.5,511.15
114.14399999999996,391.78,396.15
84.11799999999997,329.78,339.15
122.17099999999996,536.48,542.15
125.19599999999996,503.93,507.15
118.13899999999995,566.03,562.15
169.2270000000001,605.03,575.15
89.13799999999996,455.83,476.15
104.15299999999992,506.0,515.15
171.2840000000002,603.8,538.15
109.12799999999996,516.71,540.15
135.16600000000005,535.72,524.15
135.16600000000005,540.7,567.15
75.11099999999996,432.51,447.65
75.11099999999996,432.51,414.15
132.159,558.8,538.15
108.13999999999994,408.86,426.75
208.21600000000004,726.02,650.15
57.09600000000001,332.47,331.15
114.19199999999992,486.08,387.15
128.17399999999995,474.06,522.15
121.13899999999995,512.8399999999999,579.15
78.11399999999996,358.58,353.23
136.15000000000006,554.8299999999999,541.15
164.2040000000001,600.5899999999999,569.15
108.14399999999996,513.5999999999999,530.15
108.14399999999996,513.5999999999999,540.15
203.02400000000003,596.9,549.15
136.19800000000006,559.3599999999999,520.15
142.24800000000005,494.26,518.15
122.16699999999992,501.5,493.15
178.2310000000001,623.47,583.15
131.178,534.28,534.15
136.19400000000005,524.38,514.15
126.11099999999996,600.44,580.15
184.2420000000001,682.54,674.15
118.13899999999995,504.24,633.15
252.3160000000001,767.04,753.15
216.28300000000007,678.71,674.15
