Mol. wt.,CRC Tm /K
264.3209999999999,433.15
336.4319999999995,394.15
152.19600000000003,362.55
353.3299999999998,471.15
44.05300000000001,149.74999999999997
135.16600000000005,387.5
150.18100000000007,403.15
74.08299999999997,340.15
170.21100000000007,307.15
170.21100000000007,325.15
85.10599999999997,254.15
120.15099999999994,292.54999999999995
131.131,398.15
179.17500000000007,529.65
223.2750000000001,466.15
150.17700000000008,311.35
164.16000000000005,387.65
164.16000000000005,481.15
122.94899999999998,176.64999999999998
163.19800000000006,382.65
26.038,191.65
103.12099999999997,336.65
117.10399999999996,479.15
191.2520000000001,378.65
115.13199999999996,248.15
180.15900000000005,409.15
259.05499999999995,333.15
178.18700000000007,322.15
235.28300000000013,366.15
246.2660000000001,462.65
251.28200000000007,353.65
361.659,437.45
179.2220000000001,383.21
195.2210000000001,573.15
56.064000000000014,185.35
53.06400000000001,189.64
145.15800000000007,434.65
314.2929999999998,560.65
269.77199999999976,315.15
360.44999999999953,439.65
288.2989999999997,422.15
158.11700000000008,512.15
348.48299999999944,463.15
180.1560000000001,401.15
58.08000000000002,144.14999999999998
57.09600000000002,184.95
110.19999999999992,162.54999999999998
131.131,330.15
206.2410000000001,303.65
244.25000000000009,429.65
100.12099999999997,358.15
227.33700000000016,356.75
285.4749999999994,317.65
104.10899999999998,383.15
223.23100000000005,577.65
181.147,633.15
122.17099999999996,334.15
123.15499999999994,356.65
125.19599999999996,319.15
118.13899999999995,326.15
197.23700000000008,396.15
194.19000000000008,471.65
169.2270000000001,304.65
103.12099999999997,467.45
89.13799999999995,272.15
102.09299999999998,491.15
223.07000000000008,427.15
257.676,485.15
231.68200000000007,373.65
181.18800000000013,400.15
381.0229999999998,499.15
178.01800000000003,368.65
178.01800000000006,441.15
199.12200000000004,441.15
105.13699999999994,260.65
151.2090000000001,350.65
119.16399999999992,310.65
239.23000000000005,489.65
167.1680000000001,468.15
153.13700000000006,554.15
119.11999999999996,491.15
126.11899999999996,443.15
237.25800000000007,478.65
123.15499999999994,409.15
123.15499999999994,449.65
105.13699999999996,384.08
89.13799999999995,298.65
171.2840000000002,318.65
173.17100000000005,480.15
159.18800000000007,479.15
182.13500000000005,551.15
154.12500000000006,478.95
159.22900000000016,543.15
115.08799999999998,445.65
109.12799999999996,446.65
109.12799999999996,395.65
150.18100000000007,439.65
199.2570000000001,431.15
135.16600000000005,371.65
177.24700000000013,347.65
75.11099999999995,285.25
151.2090000000001,398.65
108.10399999999998,446.15
143.10200000000003,673.15
201.3100000000002,462.15
309.40899999999954,316.54999999999995
457.4319999999997,497.65
304.47399999999936,501.65
288.4309999999994,403.15
300.3979999999995,495.15
192.17000000000004,431.15
221.25600000000009,359.15
275.5259999999999,432.45
93.12899999999996,267.15
137.13800000000006,452.85
265.35999999999984,395.15
193.24900000000008,511.95
203.24400000000009,450.65
222.24300000000005,492.15
208.21600000000004,557.95
208.26000000000008,433.65
226.23100000000005,452.15
194.2330000000001,431.15
194.2330000000001,428.15
222.2400000000001,302.35
152.1460000000001,375.65
150.13000000000008,437.65
176.12400000000005,464.15
414.5389999999994,385.15
133.10300000000004,550.65
266.3409999999999,420.15
215.68800000000013,450.15
152.11700000000005,573.15
128.17399999999995,372.15
258.104,345.54999999999995
128.087,521.15
325.4079999999996,352.15
229.28200000000007,405.15
228.29400000000007,433.15
230.26600000000005,446.15
120.15099999999994,306.65
136.15000000000006,349.85
117.15099999999995,251.05
138.12200000000004,315.15
138.19100000000003,297.15
108.14399999999996,413.45
203.02400000000003,316.65
164.16400000000007,495.15
138.16600000000008,339.15
138.16600000000008,390.65
194.1860000000001,396.65
142.24800000000005,301.65
121.18299999999994,273.15
124.20799999999994,243.15
178.2310000000001,332.15
131.178,272.15
136.19400000000005,255.15
110.18099999999995,258.28
265.4789999999999,309.45
210.141,653.15
126.11099999999996,398.65
126.11099999999996,413.65
252.2220000000001,372.15
184.2420000000001,400.15
133.15400000000005,505.05
197.19300000000004,573.15
278.3539999999997,398.55
137.13800000000003,315.15
152.14900000000006,331.15
272.3029999999997,430.15
252.3160000000001,441.55
216.28300000000007,462.75
216.28300000000007,488.15
162.14400000000003,465.65
160.17200000000005,349.15
136.15400000000005,388.15
103.12399999999997,260.33
276.33799999999974,553.15
182.2220000000001,321.15
146.14500000000004,341.15
252.3160000000001,452.15
252.3160000000001,453.15
179.22200000000004,324.09
136.17900000000003,316.85
150.20600000000005,360.15
165.22100000000006,475.95
227.28800000000007,404.15
119.12699999999997,373.15
119.12299999999996,302.51
211.22000000000008,396.65
193.20200000000008,438.65
226.23100000000005,472.15
240.26200000000009,511.15
140.56900000000005,272.65
188.27000000000007,332.65
179.17500000000007,464.65
313.35299999999967,392.65
149.1930000000001,334.15
108.13999999999994,257.65
240.3020000000001,363.15
212.24800000000008,292.15
244.3370000000001,358.15
160.22000000000008,340.15
211.3080000000001,308.15
208.21300000000008,318.25
182.2660000000001,243.15
428.44099999999975,395.15
209.20100000000008,394.15
152.1930000000001,198.15
184.23800000000008,357.15
175.27500000000012,289.95
169.22700000000006,285.54999999999995
149.21800000000005,316.15
328.27299999999974,511.15
354.45199999999977,594.45
296.3719999999998,632.15
110.15599999999992,371.15
119.16699999999994,286.15
152.23700000000014,260.15
342.13399999999984,359.25
582.6570000000017,573.15
254.33200000000008,461.25
86.08999999999996,275.15
154.21200000000007,342.08
179.2220000000001,361.15
184.2420000000001,327.65
186.2100000000001,386.75
186.2100000000001,370.65
218.20800000000008,583.15
196.24900000000008,394.15
156.18800000000007,332.85
156.18800000000005,377.55
380.4439999999997,485.15
210.36500000000024,288.15
103.16899999999994,234.15
248.3760000000001,366.15
212.2960000000001,410.15
263.95999999999987,368.15
263.95999999999987,417.65
338.48799999999943,352.15
311.1199999999998,414.15
218.12700000000007,318.15
159.08100000000007,286.65
175.05800000000008,373.15
155.0240000000001,292.15
173.0390000000001,356.15
279.12199999999984,470.95
267.15499999999975,343.15
237.12900000000008,328.65
421.75199999999984,389.65
324.4679999999995,368.45
254.37700000000007,364.65
270.3759999999997,375.15
234.3830000000002,299.15
222.2400000000001,315.65
370.5739999999993,205.35
426.6819999999992,218.15
706.148,309.04999999999995
154.25600000000009,299.15
287.4439999999994,311.85
119.16399999999992,252.15
195.2620000000001,337.65
254.23800000000008,382.65
256.34500000000014,413.15
242.31800000000013,393.65
228.2910000000001,433.15
364.4409999999996,346.15
270.2839999999997,406.15
246.4000000000001,320.65
392.4579999999998,505.15
214.33300000000008,330.45
308.33999999999986,357.15
272.25999999999976,454.95
354.8319999999999,469.15
356.0569999999999,461.15
394.5109999999996,471.15
196.29000000000016,300.15
153.26900000000018,436.15
527.4140000000007,478.15
298.756,319.15
138.94800000000004,323.15
199.04700000000005,324.15
275.1449999999997,400.15
289.12899999999973,454.15
172.02500000000003,291.65
187.03600000000003,274.45
215.04600000000005,389.15
196.04700000000005,321.15
189.00800000000004,384.65
201.019,429.85
201.01900000000003,527.15
182.02,312.65
219.46500000000003,284.15
219.46500000000003,310.15
249.933,315.15
249.93300000000005,336.15
277.94299999999987,384.15
196.98400000000004,434.15
135.00400000000005,172.84999999999997
135.00400000000005,139.74999999999997
229.1170000000001,314.15
213.11800000000008,292.15
191.455,251.75
165.364,113.64999999999998
143.41100000000003,256.45
205.48200000000003,315.15
157.43800000000005,214.35
163.05800000000008,216.87
221.18200000000016,243.85
225.9,298.15
163.829,217.15
130.919,127.99999999999996
185.06400000000008,256.15
262.0189999999999,426.65
247.13500000000008,318.15
249.23600000000025,263.54999999999995
108.96599999999997,154.74999999999997
201.06300000000007,275.15
167.00200000000007,259.35
185.06400000000005,229.75
194.0720000000001,340.15
175.00000000000003,255.75
179.10100000000014,217.05
335.3259999999994,325.95
165.0740000000001,188.25
203.03500000000005,386.15
282.9059999999999,263.85
282.9059999999999,363.52
208.05800000000005,314.65
186.05200000000008,299.15
171.03700000000006,271.65
196.04700000000005,369.65
151.0470000000001,161.14999999999998
185.06400000000005,294.15
221.0970000000001,329.15
216.03400000000005,332.45
187.03600000000003,328.45
137.02000000000007,155.34999999999997
137.02000000000007,256.35
223.069,357.15
202.007,311.65
202.007,327.15
199.98800000000003,404.65
193.12800000000013,218.15
291.3169999999994,291.75
151.0470000000001,185.15
151.0470000000001,177.64999999999998
