Mol. wt.,JR Tm /K,CRC Tm /K
264.3209999999999,588.55,433.15
336.4319999999995,602.31,394.15
152.19600000000003,335.62,362.55
353.3299999999998,753.3399999999999,471.15
44.05300000000001,154.3,149.74999999999997
135.16600000000005,308.93,387.5
150.18100000000007,361.59,403.15
74.08299999999997,298.15,340.15
170.21100000000007,346.57000000000005,307.15
170.21100000000007,346.57000000000005,325.15
85.10599999999997,263.07,254.15
120.15099999999994,256.27,292.54999999999995
131.131,394.3,398.15
179.17500000000007,493.32,529.65
223.2750000000001,481.02,466.15
150.17700000000008,302.29,311.35
164.16000000000005,440.66,387.65
164.16000000000005,440.66,481.15
122.94899999999998,222.03,176.64999999999998
163.19800000000006,430.75999999999993,382.65
26.038,100.14,191.65
103.12099999999997,298.25,336.65
117.10399999999996,398.03,479.15
191.2520000000001,451.24,378.65
115.13199999999996,278.44,248.15
180.15900000000005,433.06,409.15
259.05499999999995,505.38,333.15
178.18700000000007,321.14000000000004,322.15
235.28300000000013,392.61,366.15
246.2660000000001,663.8899999999999,462.65
251.28200000000007,504.33,353.65
361.659,711.0099999999999,437.45
179.2220000000001,412.15,383.21
195.2210000000001,513.1,573.15
56.064000000000014,163.81,185.35
53.06400000000001,186.8,189.64
145.15800000000007,451.17,434.65
314.2929999999998,653.33,560.65
269.77199999999976,433.55,315.15
360.44999999999953,710.7399999999999,439.65
288.2989999999997,727.6199999999999,422.15
158.11700000000008,678.0899999999999,512.15
348.48299999999944,651.2199999999999,463.15
180.1560000000001,443.48,401.15
58.08000000000002,182.63,144.14999999999998
57.09600000000002,205.07,184.95
110.19999999999992,189.06,162.54999999999998
131.131,300.16,330.15
206.2410000000001,339.26,303.65
244.25000000000009,706.93,429.65
100.12099999999997,318.93,358.15
227.33700000000016,581.99,356.75
285.4749999999994,507.28,317.65
104.10899999999998,435.69,383.15
223.23100000000005,583.34,577.65
181.147,635.8399999999999,633.15
122.17099999999996,374.11,334.15
123.15499999999994,351.6700000000001,356.65
125.19599999999996,316.04,319.15
118.13899999999995,355.84000000000003,326.15
197.23700000000008,434.82,396.15
194.19000000000008,576.5799999999999,471.65
169.2270000000001,373.62,304.65
