Mol. wt.,JR Vc /(cm3 mol-1),CRC Vc /(cm3 mol-1)
60.052000000000014,171.5,171.0
41.053,173.5,173.0
26.038,109.5,119.0
40.06500000000001,165.5,167.0
57.09600000000002,213.5,217.0
169.2270000000001,520.5,548.0
104.15299999999992,342.5,340.0
108.13999999999994,337.5,355.0
136.15000000000006,399.5,372.0
150.22100000000012,506.5,493.0
178.2310000000001,567.5,526.0
136.19400000000005,450.5,450.0
182.2220000000001,553.5,568.0
108.13999999999994,338.5,333.0
138.25400000000005,477.5,497.0
103.16899999999994,352.5,350.0
390.56399999999945,1311.5,1495.0
165.364,227.5,229.0
108.96599999999997,209.5,214.0
175.0,343.5,337.0
122.99299999999997,265.5,271.0
225.00700000000003,424.5,415.0
225.00700000000003,424.5,413.0
72.10699999999996,276.5,258.0
88.15399999999995,317.5,317.0
90.12199999999994,291.5,302.0
69.10699999999997,285.5,265.0
88.10599999999995,283.5,292.0
74.12299999999995,272.5,269.0
56.10800000000002,240.5,236.0
56.10800000000002,239.5,238.0
160.21300000000014,527.5,551.0
116.15999999999993,397.5,403.0
116.15999999999994,386.5,399.0
73.13899999999995,288.5,291.0
73.13899999999995,277.5,293.0
134.222,481.5,488.0
178.2310000000001,569.5,594.0
140.27000000000007,528.5,547.0
102.17699999999992,378.5,394.0
130.18699999999995,453.5,464.0
86.08999999999997,243.5,246.0
100.495,221.5,230.0
86.468,170.5,165.0
62.49900000000001,177.5,171.0
130.549,330.5,324.0
134.65,476.5,492.0
50.48800000000001,140.5,136.0
92.56899999999996,297.5,308.0
182.475,326.5,277.0
154.465,264.5,255.0
78.54199999999997,252.5,268.0
136.47500000000002,251.5,244.0
118.485,239.5,232.0
104.458,183.5,180.3
108.13999999999994,285.5,337.0
52.036,199.5,149.0
84.16199999999994,305.5,307.0
98.14499999999994,312.5,354.0
99.17699999999994,333.5,349.0
70.13499999999998,257.5,264.0
84.11799999999995,264.5,276.0
42.08100000000002,161.5,164.0
138.25400000000005,477.5,492.0
156.26900000000018,612.5,601.0
172.31600000000023,653.5,654.0
172.26800000000017,619.5,638.0
158.2850000000002,608.5,643.0
158.2850000000002,608.5,646.0
156.26900000000018,601.5,628.0
140.27000000000007,576.5,594.0
168.19500000000005,486.5,494.0
359.8359999999999,483.5,452.0
190.33000000000013,689.5,732.0
278.3479999999996,875.5,954.0
147.00400000000002,361.5,364.0
98.95999999999998,239.5,248.0
96.944,225.5,220.0
116.95,252.5,253.7
220.927,376.5,365.0
112.98699999999998,295.5,292.0
170.92,295.5,294.0
152.93000000000004,282.5,283.2
446.67199999999934,1547.5,1807.0
118.17599999999992,407.5,432.0
73.13899999999995,294.5,304.0
106.12099999999994,315.5,325.0
134.175,425.5,450.0
204.26600000000016,657.5,627.0
176.21200000000013,545.5,524.0
148.20200000000014,482.5,495.0
146.14200000000008,423.5,464.0
174.1960000000001,535.5,567.0
114.09399999999998,299.5,290.0
114.09399999999998,299.5,297.0
64.034,165.5,155.0
150.04600000000002,294.5,291.0
334.4559999999995,1099.5,1061.0
129.24699999999993,506.5,518.0
162.27600000000015,587.5,610.0
90.12199999999994,295.5,305.0
104.14899999999994,340.5,360.0
121.18299999999992,393.5,407.0
86.17799999999993,359.5,358.0
84.16199999999994,347.5,346.0
84.16199999999994,353.5,344.0
112.21599999999992,415.5,434.0
46.06900000000002,165.5,171.0
128.2589999999999,528.5,546.0
114.2319999999999,472.5,481.0
114.2319999999999,471.5,480.0
114.2319999999999,472.5,450.0
174.1960000000001,535.5,561.0
156.2280000000001,521.5,515.0
118.08799999999997,311.5,315.0
100.20499999999991,416.5,409.0
100.20499999999991,415.5,415.0
98.18899999999992,403.5,400.0
194.1860000000001,539.5,557.0
107.15599999999996,368.5,363.0
107.15599999999992,368.5,353.0
107.15599999999996,368.5,369.0
230.30400000000017,759.5,695.0
62.137000000000015,201.5,201.0
390.56399999999945,1323.5,1510.0
306.40199999999953,987.5,957.0
101.19299999999993,406.5,414.0
250.29400000000007,763.5,816.0
310.6099999999991,1267.5,1434.0
326.6089999999991,1286.5,1243.0
200.37000000000023,765.5,765.0
202.40700000000024,761.5,726.0
186.33900000000023,726.5,805.0
168.3240000000002,688.5,710.0
312.5379999999992,1179.5,1346.0
184.491,337.5,343.0
60.100000000000016,205.5,204.0
146.14200000000008,417.5,457.0
46.06900000000002,166.5,169.0
122.16699999999992,393.5,407.0
132.159,415.5,443.0
116.20399999999992,434.5,448.0
88.10599999999995,285.5,288.0
45.085000000000015,176.5,183.0
106.16799999999994,375.5,365.0
150.17700000000008,457.5,470.0
116.15999999999993,397.5,421.0
114.14399999999992,377.5,382.0
112.21599999999992,416.5,431.0
98.18899999999992,368.5,377.0
130.18699999999995,442.5,461.0
28.053999999999995,129.5,130.9
146.18600000000012,471.5,478.0
158.24100000000016,565.5,587.0
114.2319999999999,477.5,450.0
144.21400000000014,509.5,528.0
144.21400000000014,501.5,543.0
130.23099999999994,496.5,508.0
172.26800000000017,615.5,644.0
130.18699999999995,447.5,463.0
60.09600000000002,221.5,219.0
114.2319999999999,471.5,442.0
114.2319999999999,472.5,463.0
116.15999999999993,391.5,421.0
76.16399999999996,257.5,260.0
186.2950000000002,677.5,715.0
172.26800000000017,621.5,657.0
100.20499999999991,421.5,412.0
130.18699999999995,453.5,466.0
122.16699999999992,341.5,388.0
122.16699999999992,341.5,393.0
122.16699999999992,341.5,395.0
102.13299999999995,341.5,343.0
88.14999999999995,333.5,343.0
104.17399999999996,319.5,320.0
120.19499999999992,431.5,446.0
72.10699999999996,258.5,262.0
96.10399999999996,281.5,272.0
48.06000000000001,165.5,164.0
34.03300000000001,109.5,112.4
110.13099999999996,337.5,323.0
110.13099999999996,337.5,332.0
110.13099999999996,337.5,332.0
68.07499999999997,194.5,218.0
92.09399999999997,254.5,251.0
296.58299999999923,1211.5,1366.0
240.4750000000003,987.5,1081.0
270.4569999999999,1011.5,1130.0
256.4740000000003,1006.5,1097.0
238.4590000000003,968.5,1053.0
200.053,370.5,382.0
170.027,301.5,299.0
114.18799999999992,444.5,434.0
115.21999999999991,450.5,455.0
100.20499999999991,427.5,428.0
160.1690000000001,475.5,463.0
130.18699999999995,451.5,476.0
116.20399999999992,446.5,430.0
116.20399999999992,440.5,442.0
116.20399999999992,440.5,451.0
116.20399999999992,440.5,455.0
114.18799999999992,433.5,436.0
114.18799999999992,433.5,433.0
114.18799999999992,433.5,434.0
98.18899999999992,408.5,409.0
98.18899999999992,407.5,410.0
98.18899999999992,407.5,410.0
98.18899999999992,407.5,411.0
176.30300000000017,655.5,680.0
366.7179999999991,1491.5,1740.0
226.4480000000003,931.5,1009.0
256.43000000000023,955.5,1059.0
242.4470000000003,950.5,1019.0
224.43200000000027,912.5,986.0
208.057,413.5,313.0
186.054,371.5,337.0
138.01000000000002,233.5,223.0
152.037,288.5,270.0
152.037,289.5,262.0
162.27600000000015,599.5,581.0
422.826,1679.5,2060.0
100.16099999999992,388.5,378.0
86.17799999999993,371.5,366.0
116.20799999999991,429.5,446.0
146.14200000000008,419.5,449.0
118.17599999999992,409.5,404.0
97.16099999999994,397.5,378.0
116.15999999999993,395.5,413.0
102.17699999999992,390.5,381.0
100.16099999999992,377.5,377.0
100.16099999999992,377.5,378.0
